id,planes,events,timestart,timedue,Ground time,Location,MRO,PREPARED BY,REVIEWED BY,REVIEWED BY,Date of issue,Status,No
1,A198,,,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
2,A558,ENG #2 CHG,2019-08-04,2019-08-06,Night stop from 31 Jul until FFOD 04 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
3,A558,6Y + 12Y + C05 + ENG #1 CHG + EOL,2019-08-10,2019-08-31,Ferry flight on 09 August 2018,@TBD,TBD,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
4,A559,ENG #1 CHG,2019-08-07,2019-08-09,Night stop from 06 Aug until FFOD 10 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
5,A559,ENG #2 CHG,2019-08-19,2019-08-21,Night stop from 06 Aug until FFOD 10 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
6,A560,,,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
7,A562,A03,2019-08-20,2019-08-20,Night stop from 20 Aug until FFOD 21 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
8,A563,ENG #2 CHG,2019-08-01,2019-08-03,Night stop from 06 Jul until FFOD 10 Jul 2018,@SGN,VSAE,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
9,A564,A10,2019-08-27,2019-08-27,Night stop from 06 Jul until FFOD 10 Jul 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
10,A565,C01,2019-08-22,2019-08-31,Night stop from 19 Aug until FFOD 31 Aug 2018,HAN,VAECO,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
11,A566,A09,2019-08-23,2019-08-23,Night stop from 23 Aug until FFOD 24 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
12,A567,,,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
13,A568,A06,2019-08-15,2019-08-15,Night stop from 15 Aug until FFOD 16 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
14,A569,A06,2019-08-13,2019-08-13,Night stop from 13 Aug until FFOD 14 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
15,A570,,,,,,,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
16,A571,A05,2019-08-02,2019-08-02,Night stop from 02 Aug until FFOD 03 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
17,A572,A05,2019-08-21,2019-08-21,Night stop from 21 Aug until FFOD 22 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
18,A573,A05,2019-08-29,2019-08-29,Night stop from 29 Aug until FFOD 30 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
19,A577,A03,2019-08-09,2019-08-09,Night stop from 09 Aug until FFOD 10 Aug 2018,@SGN,JPA,Nguyen Van Thai,Thai Minh Hoang, Brian Arett, 15/May/2018,2,0
