staff_id,2018-12-21,2018-12-22,2018-12-23,2018-12-24,2018-12-25,2018-12-26,2018-12-27,2018-12-28,2018-12-29,2018-12-30,2018-12-31,2019-01-01,2019-01-02,2019-01-03,2019-01-04,2019-01-05,2019-01-06,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-12,2019-01-13,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-19,2019-01-20,create_at,update_at
E000001915,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:49:56.422,2019-10-31 13:49:56.422
E000000479,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:50:05.161,2019-10-31 13:50:05.161
E000001046,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:50:13.878,2019-10-31 13:50:13.878
E000001503,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:50:22.494,2019-10-31 13:50:22.494
E000001302,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:50:31.633,2019-10-31 13:50:31.633
E000001498,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:50:40.338,2019-10-31 13:50:40.338
E000001047,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:50:48.983,2019-10-31 13:50:48.983
E000001298,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:51:04.969,2019-10-31 13:51:04.969
E000001491,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:51:13.632,2019-10-31 13:51:13.632
E000002283,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:51:22.384,2019-10-31 13:51:22.384
E000002292,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,2019-10-31 13:51:31.084,2019-10-31 13:51:31.084
E000002183,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:51:39.806,2019-10-31 13:51:39.806
E000000403,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:51:48.544,2019-10-31 13:51:48.544
E000000447,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:51:57.631,2019-10-31 13:51:57.631
E000001048,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:52:06.707,2019-10-31 13:52:06.707
E000001306,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:52:15.324,2019-10-31 13:52:15.324
E000001483,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:52:23.991,2019-10-31 13:52:23.991
E000001313,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:52:32.661,2019-10-31 13:52:32.661
E000002285,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:52:41.365,2019-10-31 13:52:41.365
E000002286,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:52:49.996,2019-10-31 13:52:49.996
E000002299,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,2019-10-31 13:52:58.645,2019-10-31 13:52:58.645
E000002804,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,2019-10-31 13:53:07.273,2019-10-31 13:53:07.273
E000000441,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,2019-10-31 13:53:15.926,2019-10-31 13:53:15.926
E000001051,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,2019-10-31 13:53:24.710,2019-10-31 13:53:24.710
E000001297,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,2019-10-31 13:53:33.870,2019-10-31 13:53:33.870
E000001312,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,2019-10-31 13:53:42.481,2019-10-31 13:53:42.481
E000001497,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,2019-10-31 13:53:51.179,2019-10-31 13:53:51.179
E000001309,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,2019-10-31 13:54:00.302,2019-10-31 13:54:00.302
E000002287,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,2019-10-31 13:54:09.045,2019-10-31 13:54:09.045
E000002301,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,2019-10-31 13:54:18.235,2019-10-31 13:54:18.235
E000002351,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:54:26.909,2019-10-31 13:54:26.909
E000001049,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:54:36.065,2019-10-31 13:54:36.065
E000001308,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:54:44.722,2019-10-31 13:54:44.722
E000001916,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:54:53.618,2019-10-31 13:54:53.618
E000001487,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:55:02.269,2019-10-31 13:55:02.269
E000001296,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:55:10.925,2019-10-31 13:55:10.925
E000001496,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:55:19.551,2019-10-31 13:55:19.551
E000002288,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:55:28.170,2019-10-31 13:55:28.170
E000002289,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:55:36.857,2019-10-31 13:55:36.857
E000002290,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,0,0,1,-1,-1,-1,2019-10-31 13:55:45.501,2019-10-31 13:55:45.501
